name,math,science,english,average,grade,math_performance,english_performane,science_performance,best_subject
John,78.0,85.0,90.0,84.33333333333333,B,Above Average,Above Average,Above Average,english
Sara,92.0,88.0,95.0,91.66666666666667,A,Above Average,Above Average,Above Average,english
Mike,60.0,70.0,65.0,65.0,C,Below Average,Below Average,Below Average,science
Nina,45.0,50.0,40.0,45.0,F,Below Average,Below Average,Below Average,science
Alex,88.0,76.0,85.0,83.0,B,Above Average,Above Average,Below Average,math
Liam,82.0,77.0,89.0,82.66666666666667,B,Above Average,Above Average,Below Average,english
Olivia,76.0,81.0,88.0,81.66666666666667,B,Below Average,Above Average,Above Average,english
William,70.0,65.0,72.0,69.0,C,Below Average,Below Average,Below Average,english
James,55.0,60.0,58.0,57.666666666666664,F,Below Average,Below Average,Below Average,science
Isabella,94.0,92.0,96.0,94.0,A,Above Average,Above Average,Above Average,english
Benjamin,67.0,72.0,70.0,69.66666666666667,C,Below Average,Below Average,Below Average,science
Sophia,88.0,85.0,90.0,87.66666666666667,A,Above Average,Above Average,Above Average,english
Mia,73.0,68.0,75.0,72.0,C,Below Average,Below Average,Below Average,english
Theodore,81.0,84.0,79.0,81.33333333333333,B,Above Average,Above Average,Above Average,science
Charlotte,90.0,95.0,92.0,92.33333333333333,A,Above Average,Above Average,Above Average,science
Mason,40.0,45.0,38.0,41.0,F,Below Average,Below Average,Below Average,science
Amelia,85.0,82.0,88.0,85.0,A,Above Average,Above Average,Above Average,english
Ethan,77.0,73.0,79.0,76.33333333333333,B,Above Average,Above Average,Below Average,english
Harper,92.0,89.0,94.0,91.66666666666667,A,Above Average,Above Average,Above Average,english
Elias,62.0,65.0,60.0,62.333333333333336,F,Below Average,Below Average,Below Average,science
Evelyn,88.0,91.0,87.0,88.66666666666667,A,Above Average,Above Average,Above Average,science
Abigail,69.0,72.0,71.0,70.66666666666667,C,Below Average,Below Average,Below Average,science
Sebastian,83.0,80.0,85.0,82.66666666666667,B,Above Average,Above Average,Above Average,english
Emily,95.0,98.0,96.0,96.33333333333333,A,Above Average,Above Average,Above Average,science
Jack,55.0,50.0,52.0,52.333333333333336,F,Below Average,Below Average,Below Average,math
Elizabeth,81.0,84.0,80.0,81.66666666666667,B,Above Average,Above Average,Above Average,science
Leo,77.0,75.0,78.0,76.66666666666667,B,Above Average,Above Average,Below Average,english
Mila,90.0,92.0,88.0,90.0,A,Above Average,Above Average,Above Average,science
Daniel,65.0,70.0,68.0,67.66666666666667,C,Below Average,Below Average,Below Average,science
Ella,84.0,87.0,83.0,84.66666666666667,B,Above Average,Above Average,Above Average,science
Michael,42.0,48.0,45.0,45.0,F,Below Average,Below Average,Below Average,science
Avery,79.0,81.0,77.0,79.0,B,Above Average,Above Average,Above Average,science
Arthur,88.0,85.0,89.0,87.33333333333333,A,Above Average,Above Average,Above Average,english
Sofia,91.0,90.0,93.0,91.33333333333333,A,Above Average,Above Average,Above Average,english
Henry,72.0,75.0,70.0,72.33333333333333,C,Below Average,Below Average,Below Average,science
Camila,85.0,88.0,84.0,85.66666666666667,A,Above Average,Above Average,Above Average,science
Jackson,60.0,65.0,62.0,62.333333333333336,F,Below Average,Below Average,Below Average,science
Aria,93.0,95.0,91.0,93.0,A,Above Average,Above Average,Above Average,science
Scarlett,78.0,82.0,80.0,80.0,B,Above Average,Above Average,Above Average,science
David,68.0,72.0,66.0,68.66666666666667,C,Below Average,Below Average,Below Average,science
Victoria,89.0,92.0,90.0,90.33333333333333,A,Above Average,Above Average,Above Average,science
Wyatt,45.0,50.0,48.0,47.666666666666664,F,Below Average,Below Average,Below Average,science
Madison,76.0,79.0,75.0,76.66666666666667,B,Below Average,Below Average,Above Average,science
Matthew,82.0,85.0,80.0,82.33333333333333,B,Above Average,Above Average,Above Average,science
Luna,90.0,93.0,92.0,91.66666666666667,A,Above Average,Above Average,Above Average,science
Luke,71.0,68.0,74.0,71.0,C,Below Average,Below Average,Below Average,english
Grace,84.0,81.0,86.0,83.66666666666667,B,Above Average,Above Average,Above Average,english
Asher,59.0,62.0,60.0,60.333333333333336,F,Below Average,Below Average,Below Average,science
Chloe,87.0,85.0,89.0,87.0,A,Above Average,Above Average,Above Average,english
Julian,73.0,76.0,71.0,73.33333333333333,C,Below Average,Below Average,Below Average,science
Penelope,92.0,90.0,95.0,92.33333333333333,A,Above Average,Above Average,Above Average,english
Riley,64.0,68.0,65.0,65.66666666666667,C,Below Average,Below Average,Below Average,science
Layla,81.0,83.0,80.0,81.33333333333333,B,Above Average,Above Average,Above Average,science
Zoey,86.0,88.0,84.0,86.0,A,Above Average,Above Average,Above Average,science
Gabriel,75.0,78.0,73.0,75.33333333333333,B,Below Average,Below Average,Above Average,science
Lily,90.0,91.0,89.0,90.0,A,Above Average,Above Average,Above Average,science
Isaac,52.0,55.0,50.0,52.333333333333336,F,Below Average,Below Average,Below Average,science
Eleanor,83.0,80.0,84.0,82.33333333333333,B,Above Average,Above Average,Above Average,english
Anthony,70.0,72.0,68.0,70.0,C,Below Average,Below Average,Below Average,science
Hannah,88.0,85.0,90.0,87.66666666666667,A,Above Average,Above Average,Above Average,english
Grayson,74.0,77.0,75.0,75.33333333333333,B,Below Average,Below Average,Below Average,science
Christopher,61.0,64.0,60.0,61.666666666666664,F,Below Average,Below Average,Below Average,science
Addison,82.0,85.0,81.0,82.66666666666667,B,Above Average,Above Average,Above Average,science
Joshua,79.0,81.0,77.0,79.0,B,Above Average,Above Average,Above Average,science
Aubrey,94.0,96.0,92.0,94.0,A,Above Average,Above Average,Above Average,science
Andrew,48.0,52.0,45.0,48.333333333333336,F,Below Average,Below Average,Below Average,science
Ellie,85.0,83.0,87.0,85.0,A,Above Average,Above Average,Above Average,english
Lincoln,72.0,75.0,70.0,72.33333333333333,C,Below Average,Below Average,Below Average,science
Stella,89.0,91.0,88.0,89.33333333333333,A,Above Average,Above Average,Above Average,science
Mateo,63.0,67.0,61.0,63.666666666666664,F,Below Average,Below Average,Below Average,science
Natalie,81.0,84.0,80.0,81.66666666666667,B,Above Average,Above Average,Above Average,science
Ryan,76.0,79.0,75.0,76.66666666666667,B,Below Average,Below Average,Above Average,science
Zoe,92.0,95.0,90.0,92.33333333333333,A,Above Average,Above Average,Above Average,science
Jaxon,55.0,58.0,52.0,55.0,F,Below Average,Below Average,Below Average,science
Leah,84.0,87.0,83.0,84.66666666666667,B,Above Average,Above Average,Above Average,science
Nathan,71.0,74.0,69.0,71.33333333333333,C,Below Average,Below Average,Below Average,science
Hazel,88.0,90.0,86.0,88.0,A,Above Average,Above Average,Above Average,science
Aaron,67.0,70.0,65.0,67.33333333333333,C,Below Average,Below Average,Below Average,science
Violet,93.0,96.0,92.0,93.66666666666667,A,Above Average,Above Average,Above Average,science
Isaiah,42.0,45.0,40.0,42.333333333333336,F,Below Average,Below Average,Below Average,science
Aurora,85.0,88.0,83.0,85.33333333333333,A,Above Average,Above Average,Above Average,science
Thomas,78.0,81.0,77.0,78.66666666666667,B,Above Average,Above Average,Above Average,science
Savannah,90.0,92.0,89.0,90.33333333333333,A,Above Average,Above Average,Above Average,science
Charles,65.0,68.0,62.0,65.0,C,Below Average,Below Average,Below Average,science
Audrey,82.0,85.0,81.0,82.66666666666667,B,Above Average,Above Average,Above Average,science
Caleb,74.0,77.0,72.0,74.33333333333333,C,Below Average,Below Average,Below Average,science
Brooklyn,89.0,92.0,88.0,89.66666666666667,A,Above Average,Above Average,Above Average,science
Josiah,58.0,61.0,55.0,58.0,F,Below Average,Below Average,Below Average,science
Bella,86.0,89.0,84.0,86.33333333333333,A,Above Average,Above Average,Above Average,science
