name,math,science,english
John,78,85,90
Sara,92,88,95
Mike,60,70,65
Nina,45,50,40
Alex,88,76,85
John,78,85,90
Liam,82,77,89
Emma,91,,92
Noah,ABSENT,84,78
Olivia,76,81,88
William,70,65,72
Ava,85,90,
James,55,60,58
Isabella,94,92,96
Benjamin,67,72,70
Sophia,88,85,90
Lucas,NULL,78,82
Mia,73,68,75
Theodore,81,84,79
Charlotte,90,95,92
Mason,40,45,38
Amelia,85,82,88
Ethan,77,73,79
Harper,92,89,94
Elias,62,65,60
Evelyn,88,91,87
Freddie,74,78,ERROR
Abigail,69,72,71
Sebastian,83,80,85
Emily,95,98,96
Jack,55,50,52
Elizabeth,81,84,80
Leo,77,75,78
Mila,90,92,88
Daniel,65,70,68
Ella,84,87,83
Michael,42,48,45
Avery,79,81,77
Arthur,88,85,89
Sofia,91,90,93
Arthur,88,85,89
Henry,72,75,70
Camila,85,88,84
Jackson,60,65,62
Aria,93,95,91
Sebastian,83,80,85
Scarlett,78,82,80
David,68,72,66
Victoria,89,92,90
Wyatt,45,50,48
Madison,76,79,75
Matthew,82,85,80
Luna,90,93,92
Luke,71,68,74
Grace,84,81,86
Asher,59,62,60
Chloe,87,85,89
Julian,73,76,71
Penelope,92,90,95
Leo,77,75,78
Riley,64,68,65
Layla,81,83,80
Jayden,NaN,70,72
Zoey,86,88,84
Gabriel,75,78,73
Lily,90,91,89
Isaac,52,55,50
Eleanor,83,80,84
Anthony,70,72,68
Hannah,88,85,90
Grayson,74,77,75
Lillian,N/A,92,88
Christopher,61,64,60
Addison,82,85,81
Joshua,79,81,77
Aubrey,94,96,92
Andrew,48,52,45
Ellie,85,83,87
Lincoln,72,75,70
Stella,89,91,88
Mateo,63,67,61
Natalie,81,84,80
Ryan,76,79,75
Zoe,92,95,90
Jaxon,55,58,52
Leah,84,87,83
Nathan,71,74,69
Hazel,88,90,86
Aaron,67,70,65
Violet,93,96,92
Isaiah,42,45,40
Aurora,85,88,83
Thomas,78,81,77
Savannah,90,92,89
Charles,65,68,62
Audrey,82,85,81
Caleb,74,77,72
Brooklyn,89,92,88
Josiah,58,61,55
Bella,86,89,84
